,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
71,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12739,Amy Coney Barrett,0.2,0.82,0.18,0.8,2020-09-07T20:14:25.48771,Open
72,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12738,Britt Grant,0.03,0.98,0.02,0.97,2020-09-07T20:14:25.48771,Open
73,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12719,Thomas Hardiman,0.03,0.98,0.02,0.97,2020-09-07T20:14:25.48771,Open
74,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12727,Amul Thapar,0.03,0.99,0.01,0.97,2020-09-07T20:14:25.48771,Open
75,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12733,Joan Larsen,0.02,0.99,0.01,0.98,2020-09-07T20:14:25.48771,Open
76,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,23617,Neomi Rao,0.03,0.98,0.02,0.97,2020-09-07T20:14:25.48771,Open
77,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12714,Merrick Garland,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
78,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12715,Charles Canady,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
79,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12716,Steven Colloton,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
80,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12717,Allison Eid,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
81,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12718,Raymond Gruender,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
82,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12720,Raymond Kethledge,0.02,0.99,0.01,0.98,2020-09-07T20:14:25.48771,Open
83,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12721,Mike Lee,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
84,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12722,Thomas Lee,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
85,4930,Who will be Trump's next Supreme Court nominee?,https://www.predictit.org/markets/detail/4930/Who-will-be-Trump's-next-Supreme-Court-nominee,12723,Edward Mansfield,0.01,0.0,0.0,0.99,2020-09-07T20:14:25.48771,Open
